date,THAI_EQ,GLOBAL_EQ,TECH,BOND,GOLD
2023-08-01,10.0000,100.0000,250.0000,12.0000,30.0000
2023-08-02,10.0477,101.5873,254.5014,12.0338,29.8149
2023-08-03,9.9384,101.5833,254.4439,11.9973,29.8887
2023-08-04,9.8389,101.1310,255.2368,11.9913,29.4919
2023-08-07,9.7834,101.6319,253.1516,11.9946,29.5833
2023-08-08,9.7609,102.2719,254.8823,11.9690,29.8418
2023-08-09,9.6530,102.7153,257.7526,11.9201,29.8014
2023-08-10,9.7917,103.5824,263.4832,11.9585,30.1663
2023-08-11,9.8262,104.6975,258.9499,11.9772,30.5470
2023-08-14,9.7649,105.0840,254.7877,12.0089,30.2938
2023-08-15,9.8978,105.1773,257.4465,12.0382,30.6591
2023-08-16,9.8996,103.2433,248.5484,12.0949,30.7315
2023-08-17,9.8525,101.4931,240.2779,12.0644,30.6211
2023-08-18,9.8436,101.9514,240.1900,12.0742,30.2565
2023-08-21,10.0257,102.0887,239.8676,12.0526,30.4292
2023-08-22,9.9625,102.7012,242.9709,12.0562,30.8097
2023-08-23,9.9245,102.0962,241.7233,12.1537,30.4739
2023-08-24,9.8970,100.6518,236.3207,12.1697,30.3680
2023-08-25,9.8544,101.2342,236.0444,12.1830,30.5623
2023-08-28,9.8360,101.1674,238.3743,12.1918,30.6865
2023-08-29,9.8168,101.7910,234.0586,12.1950,30.7370
2023-08-30,9.6165,100.6478,230.2764,12.1890,30.6936
2023-08-31,9.6613,99.9401,227.7727,12.1438,30.5862
2023-09-01,9.7408,101.3322,232.6839,12.1193,30.5568
2023-09-04,9.8602,100.4937,225.2570,12.0882,30.6384
2023-09-05,10.1007,101.5850,230.2359,12.0871,30.4086
2023-09-06,9.9835,100.4247,227.9055,12.0938,29.8436
2023-09-07,10.0951,100.9834,228.0264,12.0871,29.8067
2023-09-08,9.9198,101.1078,225.1312,12.0493,29.4640
2023-09-11,9.7897,100.3887,221.8072,12.0644,29.3305
2023-09-12,9.6956,101.4463,226.5372,12.0518,29.2265
2023-09-13,9.3919,99.1539,222.4361,12.0456,29.3161
2023-09-14,9.5018,99.1048,223.2062,12.0747,29.5001
2023-09-15,9.4646,97.6397,220.6393,12.1218,29.4742
2023-09-18,9.5267,99.2386,227.3137,12.1304,29.9899
2023-09-19,9.5433,99.9787,231.6915,12.1742,30.2550
2023-09-20,9.7377,100.5854,231.5389,12.1414,30.1297
2023-09-21,9.8069,100.6206,230.9577,12.1933,30.1941
2023-09-22,9.9286,100.6737,230.7535,12.2082,30.1138
2023-09-25,10.0309,102.5540,232.4092,12.1670,30.2307
2023-09-26,9.9569,102.8739,233.3023,12.1535,30.7092
2023-09-27,9.9285,101.1935,227.7425,12.1642,30.7844
2023-09-28,9.9606,99.9543,227.0506,12.0946,30.3922
2023-09-29,9.9615,100.9379,234.2080,12.1338,29.8349
2023-10-02,9.9682,100.7718,233.5292,12.1219,29.5731
2023-10-03,9.8283,101.6246,235.5588,12.0944,29.7531
2023-10-04,9.6834,100.9199,231.7459,12.1067,29.3885
2023-10-05,9.7114,99.6892,227.1165,12.1217,29.1466
2023-10-06,9.8572,99.3622,226.5363,12.1249,29.3982
2023-10-09,9.7855,99.9751,224.0658,12.1197,29.3426
2023-10-10,9.7438,99.0767,221.6985,12.0942,29.0445
2023-10-11,9.8193,98.3767,217.2742,12.1058,29.1615
2023-10-12,9.8762,99.3935,218.0212,12.1165,28.9970
2023-10-13,9.9676,99.5803,220.4909,12.1286,28.7330
2023-10-16,9.9880,98.6946,217.2416,12.1241,28.9182
2023-10-17,9.9327,98.9551,218.7589,12.0406,28.5347
2023-10-18,9.8540,97.3323,218.6420,12.0611,28.5186
2023-10-19,10.0035,98.4751,223.1416,12.1001,28.3149
2023-10-20,10.1406,98.7494,224.6917,12.0538,28.5835
2023-10-23,10.1729,98.4711,220.6826,12.0549,28.3642
2023-10-24,10.1701,99.6382,218.8684,12.1073,28.2844
2023-10-25,10.1413,100.1560,220.1223,12.1087,27.9987
2023-10-26,10.1393,99.3497,214.6205,12.1099,28.4150
2023-10-27,10.2614,100.6522,220.9866,12.0768,28.3898
2023-10-30,10.1497,100.4053,220.3924,12.0192,28.3722
2023-10-31,10.1586,100.3250,218.0047,12.0667,28.5860
2023-11-01,10.1942,99.7563,215.2520,12.0587,28.1373
2023-11-02,10.3136,99.4636,213.9864,12.0831,28.1344
2023-11-03,10.2861,98.4479,211.6777,12.0579,28.3265
2023-11-06,10.3461,97.2762,207.5105,12.0993,28.5270
2023-11-07,10.3948,96.8948,206.5024,12.1426,28.6662
2023-11-08,10.5006,97.8365,207.5307,12.2085,29.4139
2023-11-09,10.5769,98.2319,207.5796,12.2269,29.6497
2023-11-10,10.6551,100.5103,216.5701,12.2239,29.8518
2023-11-13,10.7052,100.6220,213.5260,12.1803,29.9563
2023-11-14,10.5848,101.4482,216.3714,12.1615,29.6073
2023-11-15,10.6207,102.2741,222.7855,12.1633,29.9599
2023-11-16,10.8216,103.2265,226.0495,12.2124,30.2771
2023-11-17,10.8784,104.1301,230.8942,12.2295,30.2284
2023-11-20,10.7859,103.8585,233.3677,12.2043,30.3679
2023-11-21,10.7999,104.0196,232.3441,12.1557,30.1555
2023-11-22,10.6438,102.0573,221.8122,12.1675,30.2270
2023-11-23,10.5505,103.0699,225.3539,12.1761,30.2584
2023-11-24,10.4896,101.6099,220.1350,12.2435,30.2492
2023-11-27,10.4069,102.3131,224.8365,12.2572,30.3699
2023-11-28,10.5926,105.8752,233.9937,12.3182,30.1470
2023-11-29,10.6121,104.4822,232.2083,12.3200,30.1122
2023-11-30,10.6754,105.3017,233.5006,12.3318,30.0467
2023-12-01,10.7692,106.7145,238.0979,12.3503,30.2437
2023-12-04,10.9488,106.8697,234.9204,12.4367,30.4912
2023-12-05,11.0839,106.3983,235.7718,12.3968,29.9666
2023-12-06,10.7871,103.8139,225.8917,12.3686,29.5947
2023-12-07,10.7769,105.2698,232.6387,12.3493,29.6375
2023-12-08,10.6799,104.4328,225.9904,12.3236,29.3237
2023-12-11,10.6592,103.4304,220.8727,12.3427,28.9925
2023-12-12,10.7236,104.2038,226.1220,12.3512,29.4895
2023-12-13,10.7465,103.6902,227.6851,12.3751,29.1736
2023-12-14,10.8219,104.2850,228.5492,12.4090,29.1505
2023-12-15,10.6985,103.8882,226.8727,12.4184,29.3678
2023-12-18,10.8238,102.8930,222.6870,12.4278,29.0041
2023-12-19,10.6530,102.2163,217.3116,12.4372,29.0950
2023-12-20,10.6705,103.2335,220.7268,12.4741,28.9564
2023-12-21,10.6206,102.7001,220.4432,12.4648,28.9408
2023-12-22,10.6944,104.0573,224.6997,12.4518,28.8822
2023-12-25,10.7195,102.3942,218.7309,12.4874,28.5488
2023-12-26,10.7157,102.2574,218.0361,12.4394,28.3177
2023-12-27,10.7866,102.9165,220.3813,12.4363,28.3981
2023-12-28,10.6123,101.7134,214.2904,12.4710,28.2396
2023-12-29,10.6608,103.2325,219.6748,12.4933,28.0986
2024-01-01,10.5966,103.2928,216.8948,12.4816,28.3773
2024-01-02,10.6690,103.5026,216.6654,12.5314,28.1795
2024-01-03,10.6850,104.1042,219.4823,12.5441,28.1055
2024-01-04,10.7431,105.4070,224.4242,12.5738,28.4024
2024-01-05,10.7342,107.8071,228.2368,12.5758,28.3979
2024-01-08,10.8558,109.5246,230.2111,12.5882,28.5088
2024-01-09,10.6929,107.8321,228.1945,12.6428,28.4629
